,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
4498,5314101,MUTUNOPOLIS,Mutunópolis,GO
4499,5314408,NAZARIO,Nazário,GO
4500,5314507,NEROPOLIS,Nerópolis,GO
4501,5314606,NIQUELANDIA,Niquelândia,GO
4502,5314705,NOVA AMERICA,Nova América,GO
4503,5314804,NOVA AURORA,Nova Aurora,GO
4504,5314838,NOVA CRIXAS,Nova Crixás,GO
4505,5314861,NOVA GLORIA,Nova Glória,GO
4506,5314879,NOVA IGUACU DE GOIAS,Nova Iguaçu de Goiás,GO
4507,5314903,NOVA ROMA,Nova Roma,GO
4508,5315009,NOVA VENEZA,Nova Veneza,GO
4509,5315207,NOVO BRASIL,Novo Brasil,GO
4510,5315231,NOVO GAMA,Novo Gama,GO
4511,5315256,NOVO PLANALTO,Novo Planalto,GO
4512,5315306,ORIZONA,Orizona,GO
4513,5315405,OURO VERDE DE GOIAS,Ouro Verde de Goiás,GO
4514,5315504,OUVIDOR,Ouvidor,GO
4515,5315603,PADRE BERNARDO,Padre Bernardo,GO
4516,5315652,PALESTINA DE GOIAS,Palestina de Goiás,GO
4517,5315702,PALMEIRAS DE GOIAS,Palmeiras de Goiás,GO
4518,5315801,PALMELO,Palmelo,GO
4519,5315900,PALMINOPOLIS,Palminópolis,GO
4520,5316007,PANAMA,Panamá,GO
4521,5316304,PARANAIGUARA,Paranaiguara,GO
4522,5316403,PARAUNA,Paraúna,GO
4523,5316452,PEROLANDIA,Perolândia,GO
4524,5316809,PETROLINA DE GOIAS,Petrolina de Goiás,GO
4525,5316908,PILAR DE GOIAS,Pilar de Goiás,GO
4526,5317104,PIRACANJUBA,Piracanjuba,GO
4527,5317203,PIRANHAS,Piranhas,GO
4528,5317302,PIRENOPOLIS,Pirenópolis,GO
4529,5317401,PIRES DO RIO,Pires do Rio,GO
4530,5317609,PLANALTINA,Planaltina,GO
4531,5317708,PONTALINA,Pontalina,GO
4532,5318003,PORANGATU,Porangatu,GO
4533,5318052,PORTEIRAO,Porteirão,GO
4534,5318102,PORTELANDIA,Portelândia,GO
4535,5318300,POSSE,Posse,GO
4536,5318391,PROFESSOR JAMIL,Professor Jamil,GO
4537,5318508,QUIRINOPOLIS,Quirinópolis,GO
4538,5318607,RIALMA,Rialma,GO
4539,5318706,RIANAPOLIS,Rianápolis,GO
4540,5318789,RIO QUENTE,Rio Quente,GO
4541,5318805,RIO VERDE,Rio Verde,GO
4542,5318904,RUBIATABA,Rubiataba,GO
4543,5319001,SANCLERLANDIA,Sanclerlândia,GO
4544,5319100,SANTA BARBARA DE GOIAS,Santa Bárbara de Goiás,GO
4545,5319209,SANTA CRUZ DE GOIAS,Santa Cruz de Goiás,GO
4546,5319258,SANTA FE DE GOIAS,Santa Fé de Goiás,GO
4547,5319308,SANTA HELENA DE GOIAS,Santa Helena de Goiás,GO
4548,5319357,SANTA ISABEL,Santa Isabel,GO
4549,5319407,SANTA RITA DO ARAGUAIA,Santa Rita do Araguaia,GO
4550,5319456,SANTA RITA DO NOVO DESTINO,Santa Rita do Novo Destino,GO
4551,5319506,SANTA ROSA DE GOIAS,Santa Rosa de Goiás,GO
4552,5319605,SANTA TEREZA DE GOIAS,Santa Tereza de Goiás,GO
4553,5319704,SANTA TEREZINHA DE GOIAS,Santa Terezinha de Goiás,GO
4554,5319712,SANTO ANTONIO DA BARRA,Santo Antônio da Barra,GO
4555,5319738,SANTO ANTONIO DE GOIAS,Santo Antônio de Goiás,GO
4556,5319753,SANTO ANTONIO DO DESCOBERTO,Santo Antônio do Descoberto,GO
4557,5319803,SAO DOMINGOS,São Domingos,GO
4558,5319902,SAO FRANCISCO DE GOIAS,São Francisco de Goiás,GO
4559,5320009,SAO JOAO D'ALIANCA,São João d'Aliança,GO
4560,5320058,SAO JOAO DA PARAUNA,São João da Paraúna,GO
4561,5320108,SAO LUIS DE MONTES BELOS,São Luís de Montes Belos,GO
4562,5320157,SAO LUIZ DO NORTE,São Luíz do Norte,GO
4563,5320207,SAO MIGUEL DO ARAGUAIA,São Miguel do Araguaia,GO
4564,5320264,SAO MIGUEL DO PASSA QUATRO,São Miguel do Passa Quatro,GO
4565,5320280,SAO PATRICIO,São Patrício,GO
4566,5320405,SAO SIMAO,São Simão,GO
4567,5320454,SENADOR CANEDO,Senador Canedo,GO
4568,5320504,SERRANOPOLIS,Serranópolis,GO
4569,5320603,SILVANIA,Silvânia,GO
4570,5320686,SIMOLANDIA,Simolândia,GO
4571,5320702,SITIO D'ABADIA,Sítio d'Abadia,GO
4572,5321007,TAQUARAL DE GOIAS,Taquaral de Goiás,GO
4573,5321080,TERESINA DE GOIAS,Teresina de Goiás,GO
4574,5321197,TEREZOPOLIS DE GOIAS,Terezópolis de Goiás,GO
4575,5321304,TRES RANCHOS,Três Ranchos,GO
4576,5321403,TRINDADE,Trindade,GO
4577,5321452,TROMBAS,Trombas,GO
4578,5321502,TURVANIA,Turvânia,GO
4579,5321551,TURVELANDIA,Turvelândia,GO
4580,5321577,UIRAPURU,Uirapuru,GO
4581,5321601,URUACU,Uruaçu,GO
4582,5321700,URUANA,Uruana,GO
4583,5321809,URUTAI,Urutaí,GO
4584,5321858,VALPARAISO DE GOIAS,Valparaíso de Goiás,GO
4585,5321908,VARJAO,Varjão,GO
4586,5322005,VIANOPOLIS,Vianópolis,GO
4587,5322054,VICENTINOPOLIS,Vicentinópolis,GO
4588,5322203,VILA BOA,Vila Boa,GO
4589,5322302,VILA PROPICIO,Vila Propício,GO
4590,9300000,EXTERIOR,Exterior,EX
4591,5400108,BRASILIA,Brasília,DF
4592,5104526,IPIRANGA DO NORTE,Ipiranga do Norte,MT
4593,9999999,NAO DECLARADO,Município Não Declarado,ND
4594,3449300,SAO JOAO DO PAU D'ALHO,São João do Pau d'Alho,SP
4595,3449409,SAO JOAQUIM DA BARRA,São Joaquim da Barra,SP
4596,3449508,SAO JOSE DA BELA VISTA,São José da Bela Vista,SP
4597,3449607,SAO JOSE DO BARREIRO,São José do Barreiro,SP
4598,3449706,SAO JOSE DO RIO PARDO,São José do Rio Pardo,SP
4599,3449805,SAO JOSE DO RIO PRETO,São José do Rio Preto,SP
4600,3449904,SAO JOSE DOS CAMPOS,São José dos Campos,SP
4601,3449953,SAO LOURENCO DA SERRA,São Lourenço da Serra,SP
4602,3450001,SAO LUIS DO PARAITINGA,São Luís do Paraitinga,SP
4603,3450100,SAO MANUEL,São Manuel,SP
4604,3450209,SAO MIGUEL ARCANJO,São Miguel Arcanjo,SP
4605,3450308,SAO PAULO,São Paulo,SP
4606,3450407,SAO PEDRO,São Pedro,SP
4607,3450506,SAO PEDRO DO TURVO,São Pedro do Turvo,SP
4608,3450605,SAO ROQUE,São Roque,SP
4609,3450704,SAO SEBASTIAO,São Sebastião,SP
4610,3450803,SAO SEBASTIAO DA GRAMA,São Sebastião da Grama,SP
4611,3450902,SAO SIMAO,São Simão,SP
4612,3451009,SAO VICENTE,São Vicente,SP
4613,3451108,SARAPUI,Sarapuí,SP
4614,3451207,SARUTAIA,Sarutaiá,SP
4615,3451306,SEBASTIANOPOLIS DO SUL,Sebastianópolis do Sul,SP
4616,3451405,SERRA AZUL,Serra Azul,SP
4617,3451504,SERRANA,Serrana,SP
4618,3451603,SERRA NEGRA,Serra Negra,SP
4619,3451702,SERTAOZINHO,Sertãozinho,SP
4620,3451801,SETE BARRAS,Sete Barras,SP
4621,3451900,SEVERINIA,Severínia,SP
4622,3452007,SILVEIRAS,Silveiras,SP
4623,3452106,SOCORRO,Socorro,SP
4624,3452205,SOROCABA,Sorocaba,SP
4625,3452304,SUD MENNUCCI,Sud Mennucci,SP
4626,3452403,SUMARE,Sumaré,SP
4627,3452502,SUZANO,Suzano,SP
4628,3452551,SUZANAPOLIS,Suzanápolis,SP
4629,3452601,TABAPUA,Tabapuã,SP
4630,3452700,TABATINGA,Tabatinga,SP
4631,3452809,TABOAO DA SERRA,Taboão da Serra,SP
4632,3452908,TACIBA,Taciba,SP
4633,3453005,TAGUAI,Taguaí,SP
4634,3453104,TAIACU,Taiaçu,SP
4635,3453203,TAIUVA,Taiúva,SP
4636,3453302,TAMBAU,Tambaú,SP
4637,3453401,TANABI,Tanabi,SP
4638,3453500,TAPIRAI,Tapiraí,SP
4639,3453609,TAPIRATIBA,Tapiratiba,SP
4640,3453658,TAQUARAL,Taquaral,SP
4641,3453708,TAQUARITINGA,Taquaritinga,SP
4642,3453807,TAQUARITUBA,Taquarituba,SP
4643,3453856,TAQUARIVAI,Taquarivaí,SP
4644,3453906,TARABAI,Tarabai,SP
4645,3453955,TARUMA,Tarumã,SP
4646,3454003,TATUI,Tatuí,SP
4647,3454102,TAUBATE,Taubaté,SP
4648,3454201,TEJUPA,Tejupá,SP
4649,3454300,TEODORO SAMPAIO,Teodoro Sampaio,SP
4650,3454409,TERRA ROXA,Terra Roxa,SP
4651,3454508,TIETE,Tietê,SP
4652,3454607,TIMBURI,Timburi,SP
4653,3454656,TORRE DE PEDRA,Torre de Pedra,SP
4654,3454706,TORRINHA,Torrinha,SP
4655,3454755,TRABIJU,Trabiju,SP
4656,3454805,TREMEMBE,Tremembé,SP
4657,3454904,TRES FRONTEIRAS,Três Fronteiras,SP
4658,3454953,TUIUTI,Tuiuti,SP
4659,3455000,TUPA,Tupã,SP
4660,3455109,TUPI PAULISTA,Tupi Paulista,SP
4661,3455208,TURIUBA,Turiúba,SP
4662,3455307,TURMALINA,Turmalina,SP
4663,3455356,UBARANA,Ubarana,SP
4664,3455406,UBATUBA,Ubatuba,SP
4665,3455505,UBIRAJARA,Ubirajara,SP
4666,3455604,UCHOA,Uchoa,SP
4667,3455703,UNIAO PAULISTA,União Paulista,SP
4668,3455802,URANIA,Urânia,SP
4669,3455901,URU,Uru,SP
4670,3456008,URUPES,Urupês,SP
4671,3456107,VALENTIM GENTIL,Valentim Gentil,SP
4672,3456206,VALINHOS,Valinhos,SP
4673,3456305,VALPARAISO,Valparaíso,SP
4674,3456354,VARGEM,Vargem,SP
4675,3456404,VARGEM GRANDE DO SUL,Vargem Grande do Sul,SP
4676,3456453,VARGEM GRANDE PAULISTA,Vargem Grande Paulista,SP
4677,3456503,VARZEA PAULISTA,Várzea Paulista,SP
4678,3456602,VERA CRUZ,Vera Cruz,SP
4679,3456701,VINHEDO,Vinhedo,SP
4680,3456800,VIRADOURO,Viradouro,SP
4681,3456909,VISTA ALEGRE DO ALTO,Vista Alegre do Alto,SP
4682,3456958,VITORIA BRASIL,Vitória Brasil,SP
4683,3457006,VOTORANTIM,Votorantim,SP
4684,3457105,VOTUPORANGA,Votuporanga,SP
4685,3457154,ZACARIAS,Zacarias,SP
4686,3457204,CHAVANTES,Chavantes,SP
4687,3457303,ESTIVA GERBI,Estiva Gerbi,SP
4688,4100103,ABATIA,Abatiá,PR
4689,4100202,ADRIANOPOLIS,Adrianópolis,PR
4690,4100301,AGUDOS DO SUL,Agudos do Sul,PR
4691,4100400,ALMIRANTE TAMANDARE,Almirante Tamandaré,PR
4692,4100459,ALTAMIRA DO PARANA,Altamira do Paraná,PR
4693,4100509,ALTONIA,Altônia,PR
4694,4100608,ALTO PARANA,Alto Paraná,PR
4695,4100707,ALTO PIQUIRI,Alto Piquiri,PR
4696,4100806,ALVORADA DO SUL,Alvorada do Sul,PR
4697,4100905,AMAPORA,Amaporã,PR
4698,4101002,AMPERE,Ampére,PR
4699,4101051,ANAHY,Anahy,PR
4700,4101101,ANDIRA,Andirá,PR
4701,4101150,ANGULO,Ângulo,PR
4702,4101200,ANTONINA,Antonina,PR
4703,4101309,ANTONIO OLINTO,Antônio Olinto,PR
4704,4101408,APUCARANA,Apucarana,PR
4705,4101507,ARAPONGAS,Arapongas,PR
4706,4101606,ARAPOTI,Arapoti,PR
4707,4101655,ARAPUA,Arapuã,PR
4708,4101705,ARARUNA,Araruna,PR
4709,4101804,ARAUCARIA,Araucária,PR
4710,4101853,ARIRANHA DO IVAI,Ariranha do Ivaí,PR
4711,4101903,ASSAI,Assaí,PR
4712,4102000,ASSIS CHATEAUBRIAND,Assis Chateaubriand,PR
4713,4102109,ASTORGA,Astorga,PR
4714,4102208,ATALAIA,Atalaia,PR
4715,4102307,BALSA NOVA,Balsa Nova,PR
4716,4102406,BANDEIRANTES,Bandeirantes,PR
4717,4102505,BARBOSA FERRAZ,Barbosa Ferraz,PR
4718,4102604,BARRACAO,Barracão,PR
4719,4102703,BARRA DO JACARE,Barra do Jacaré,PR
4720,4102752,BELA VISTA DA CAROBA,Bela Vista da Caroba,PR
4721,4102802,BELA VISTA DO PARAISO,Bela Vista do Paraíso,PR
4722,4102901,BITURUNA,Bituruna,PR
4723,4103008,BOA ESPERANCA,Boa Esperança,PR
4724,4103024,BOA ESPERANCA DO IGUACU,Boa Esperança do Iguaçu,PR
4725,4306502,DOM FELICIANO,Dom Feliciano,RS
4726,4306551,DOM PEDRO DE ALCANTARA,Dom Pedro de Alcântara,RS
4727,4306601,DOM PEDRITO,Dom Pedrito,RS
4728,4306700,DONA FRANCISCA,Dona Francisca,RS
4729,4306734,DOUTOR MAURICIO CARDOSO,Doutor Maurício Cardoso,RS
4730,4306759,DOUTOR RICARDO,Doutor Ricardo,RS
4731,4306767,ELDORADO DO SUL,Eldorado do Sul,RS
4732,4306809,ENCANTADO,Encantado,RS
4733,4306908,ENCRUZILHADA DO SUL,Encruzilhada do Sul,RS
4734,4306924,ENGENHO VELHO,Engenho Velho,RS
4735,4306932,ENTRE-IJUIS,Entre-Ijuís,RS
4736,4306957,ENTRE RIOS DO SUL,Entre Rios do Sul,RS
4737,4306973,EREBANGO,Erebango,RS
4738,4307005,ERECHIM,Erechim,RS
4739,4307054,ERNESTINA,Ernestina,RS
4740,4307104,HERVAL,Herval,RS
4741,4307203,ERVAL GRANDE,Erval Grande,RS
4742,4307302,ERVAL SECO,Erval Seco,RS
4743,4307401,ESMERALDA,Esmeralda,RS
4744,4307450,ESPERANCA DO SUL,Esperança do Sul,RS
4745,4307500,ESPUMOSO,Espumoso,RS
4746,4307559,ESTACAO,Estação,RS
4747,4307609,ESTANCIA VELHA,Estância Velha,RS
4748,4307708,ESTEIO,Esteio,RS
4749,4307807,ESTRELA,Estrela,RS
4750,4307815,ESTRELA VELHA,Estrela Velha,RS
4751,4307831,EUGENIO DE CASTRO,Eugênio de Castro,RS
4752,4307864,FAGUNDES VARELA,Fagundes Varela,RS
4753,4307906,FARROUPILHA,Farroupilha,RS
4754,4308003,FAXINAL DO SOTURNO,Faxinal do Soturno,RS
4755,4308052,FAXINALZINHO,Faxinalzinho,RS
4756,4308078,FAZENDA VILANOVA,Fazenda Vilanova,RS
4757,4308102,FELIZ,Feliz,RS
4758,4308201,FLORES DA CUNHA,Flores da Cunha,RS
4759,4308250,FLORIANO PEIXOTO,Floriano Peixoto,RS
4760,4308300,FONTOURA XAVIER,Fontoura Xavier,RS
4761,4308409,FORMIGUEIRO,Formigueiro,RS
4762,4308433,FORQUETINHA,Forquetinha,RS
4763,4308458,FORTALEZA DOS VALOS,Fortaleza dos Valos,RS
4764,4308508,FREDERICO WESTPHALEN,Frederico Westphalen,RS
4765,4308607,GARIBALDI,Garibaldi,RS
4766,4308656,GARRUCHOS,Garruchos,RS
4767,4308706,GAURAMA,Gaurama,RS
4768,4308805,GENERAL CAMARA,General Câmara,RS
4769,4308854,GENTIL,Gentil,RS
4770,4308904,GETULIO VARGAS,Getúlio Vargas,RS
4771,4309001,GIRUA,Giruá,RS
4772,4309050,GLORINHA,Glorinha,RS
4773,4309100,GRAMADO,Gramado,RS
4774,4309126,GRAMADO DOS LOUREIROS,Gramado dos Loureiros,RS
4775,4309159,GRAMADO XAVIER,Gramado Xavier,RS
4776,4309209,GRAVATAI,Gravataí,RS
4777,4309258,GUABIJU,Guabiju,RS
4778,4309308,GUAIBA,Guaíba,RS
4779,4309407,GUAPORE,Guaporé,RS
4780,4309506,GUARANI DAS MISSOES,Guarani das Missões,RS
4781,4309555,HARMONIA,Harmonia,RS
4782,4309571,HERVEIRAS,Herveiras,RS
4783,4309605,HORIZONTINA,Horizontina,RS
4784,4309654,HULHA NEGRA,Hulha Negra,RS
4785,4309704,HUMAITA,Humaitá,RS
4786,4309753,IBARAMA,Ibarama,RS
4787,4309803,IBIACA,Ibiaçá,RS
4788,4309902,IBIRAIARAS,Ibiraiaras,RS
4789,4309951,IBIRAPUITA,Ibirapuitã,RS
4790,4310009,IBIRUBA,Ibirubá,RS
4791,4310108,IGREJINHA,Igrejinha,RS
4792,4310207,IJUI,Ijuí,RS
4793,4310306,ILOPOLIS,Ilópolis,RS
4794,4310330,IMBE,Imbé,RS
4795,4310363,IMIGRANTE,Imigrante,RS
4796,4310405,INDEPENDENCIA,Independência,RS
4797,4310413,INHACORA,Inhacorá,RS
4798,4310439,IPE,Ipê,RS
4799,4310462,IPIRANGA DO SUL,Ipiranga do Sul,RS
4800,4310504,IRAI,Iraí,RS
4801,4310538,ITAARA,Itaara,RS
4802,4310553,ITACURUBI,Itacurubi,RS
4803,4310579,ITAPUCA,Itapuca,RS
4804,4310603,ITAQUI,Itaqui,RS
4805,4310652,ITATI,Itati,RS
4806,4310702,ITATIBA DO SUL,Itatiba do Sul,RS
4807,4310751,IVORA,Ivorá,RS
4808,4310801,IVOTI,Ivoti,RS
4809,4310850,JABOTICABA,Jaboticaba,RS
4810,4310876,JACUIZINHO,Jacuizinho,RS
4811,4310900,JACUTINGA,Jacutinga,RS
4812,4311007,JAGUARAO,Jaguarão,RS
4813,4311106,JAGUARI,Jaguari,RS
4814,4311122,JAQUIRANA,Jaquirana,RS
4815,4311130,JARI,Jari,RS
4816,4311155,JOIA,Jóia,RS
4817,4311205,JULIO DE CASTILHOS,Júlio de Castilhos,RS
4818,4311239,LAGOA BONITA DO SUL,Lagoa Bonita do Sul,RS
4819,4311254,LAGOAO,Lagoão,RS
4820,4311270,LAGOA DOS TRES CANTOS,Lagoa dos Três Cantos,RS
4821,4311304,LAGOA VERMELHA,Lagoa Vermelha,RS
4822,4311403,LAJEADO,Lajeado,RS
4823,4311429,LAJEADO DO BUGRE,Lajeado do Bugre,RS
4824,4311502,LAVRAS DO SUL,Lavras do Sul,RS
4825,4311601,LIBERATO SALZANO,Liberato Salzano,RS
4826,4311627,LINDOLFO COLLOR,Lindolfo Collor,RS
4827,4311643,LINHA NOVA,Linha Nova,RS
4828,4311700,MACHADINHO,Machadinho,RS
4829,4311718,MACAMBARA,Maçambara,RS
4830,4311734,MAMPITUBA,Mampituba,RS
4831,4311759,MANOEL VIANA,Manoel Viana,RS
4832,4311775,MAQUINE,Maquiné,RS
4833,4311791,MARATA,Maratá,RS
4834,4311809,MARAU,Marau,RS
4835,4311908,MARCELINO RAMOS,Marcelino Ramos,RS
4836,4311981,MARIANA PIMENTEL,Mariana Pimentel,RS
4837,4312005,MARIANO MORO,Mariano Moro,RS
4838,4312054,MARQUES DE SOUZA,Marques de Souza,RS
4839,4312104,MATA,Mata,RS
4840,4312138,MATO CASTELHANO,Mato Castelhano,RS
4841,4312153,MATO LEITAO,Mato Leitão,RS
4842,4312179,MATO QUEIMADO,Mato Queimado,RS
4843,4312203,MAXIMILIANO DE ALMEIDA,Maximiliano de Almeida,RS
4844,4312252,MINAS DO LEAO,Minas do Leão,RS
4845,4312302,MIRAGUAI,Miraguaí,RS
4846,4312351,MONTAURI,Montauri,RS
4847,4312377,MONTE ALEGRE DOS CAMPOS,Monte Alegre dos Campos,RS
4848,4312385,MONTE BELO DO SUL,Monte Belo do Sul,RS
4849,4312401,MONTENEGRO,Montenegro,RS
4850,4312427,MORMACO,Mormaço,RS
4851,4312443,MORRINHOS DO SUL,Morrinhos do Sul,RS
4852,4312450,MORRO REDONDO,Morro Redondo,RS
4853,4312476,MORRO REUTER,Morro Reuter,RS
4854,4312500,MOSTARDAS,Mostardas,RS
4855,4312609,MUCUM,Muçum,RS
4856,4312617,MUITOS CAPOES,Muitos Capões,RS
4857,4312625,MULITERNO,Muliterno,RS
4858,4312658,NAO-ME-TOQUE,Não-Me-Toque,RS
4859,4312674,NICOLAU VERGUEIRO,Nicolau Vergueiro,RS
4860,4312708,NONOAI,Nonoai,RS
4861,4312757,NOVA ALVORADA,Nova Alvorada,RS
4862,4312807,NOVA ARACA,Nova Araçá,RS
4863,4312906,NOVA BASSANO,Nova Bassano,RS
4864,4312955,NOVA BOA VISTA,Nova Boa Vista,RS
4865,4313003,NOVA BRESCIA,Nova Bréscia,RS
4866,4313011,NOVA CANDELARIA,Nova Candelária,RS
4867,4313037,NOVA ESPERANCA DO SUL,Nova Esperança do Sul,RS
4868,4313060,NOVA HARTZ,Nova Hartz,RS
4869,4313086,NOVA PADUA,Nova Pádua,RS
4870,4313102,NOVA PALMA,Nova Palma,RS
4871,4313201,NOVA PETROPOLIS,Nova Petrópolis,RS
4872,4313300,NOVA PRATA,Nova Prata,RS
4873,4313334,NOVA RAMADA,Nova Ramada,RS
4874,4313359,NOVA ROMA DO SUL,Nova Roma do Sul,RS
4875,4313375,NOVA SANTA RITA,Nova Santa Rita,RS
4876,4313391,NOVO CABRAIS,Novo Cabrais,RS
4877,4313409,NOVO HAMBURGO,Novo Hamburgo,RS
4878,4313425,NOVO MACHADO,Novo Machado,RS
4879,4313441,NOVO TIRADENTES,Novo Tiradentes,RS
4880,4313466,NOVO XINGU,Novo Xingu,RS
4881,4313490,NOVO BARREIRO,Novo Barreiro,RS
4882,4313508,OSORIO,Osório,RS
4883,4313607,PAIM FILHO,Paim Filho,RS
4884,4313656,PALMARES DO SUL,Palmares do Sul,RS
4885,4313706,PALMEIRA DAS MISSOES,Palmeira das Missões,RS
4886,4313805,PALMITINHO,Palmitinho,RS
4887,4313904,PANAMBI,Panambi,RS
4888,4313953,PANTANO GRANDE,Pantano Grande,RS
4889,4314001,PARAI,Paraí,RS
4890,4314027,PARAISO DO SUL,Paraíso do Sul,RS
4891,4314035,PARECI NOVO,Pareci Novo,RS
4892,4314050,PAROBE,Parobé,RS
4893,4314068,PASSA SETE,Passa Sete,RS
4894,4314076,PASSO DO SOBRADO,Passo do Sobrado,RS
4895,4314100,PASSO FUNDO,Passo Fundo,RS
4896,4314134,PAULO BENTO,Paulo Bento,RS
4897,4314159,PAVERAMA,Paverama,RS
4898,4314175,PEDRAS ALTAS,Pedras Altas,RS
4899,4314209,PEDRO OSORIO,Pedro Osório,RS
4900,4314308,PEJUCARA,Pejuçara,RS
4901,4314407,PELOTAS,Pelotas,RS
4902,4314423,PICADA CAFE,Picada Café,RS
4903,4314456,PINHAL,Pinhal,RS
4904,3425508,JOANOPOLIS,Joanópolis,SP
4905,3425607,JOAO RAMALHO,João Ramalho,SP
4906,3425706,JOSE BONIFACIO,José Bonifácio,SP
4907,3425805,JULIO MESQUITA,Júlio Mesquita,SP
4908,3425854,JUMIRIM,Jumirim,SP
4909,3425904,JUNDIAI,Jundiaí,SP
4910,3426001,JUNQUEIROPOLIS,Junqueirópolis,SP
4911,3426100,JUQUIA,Juquiá,SP
4912,3426209,JUQUITIBA,Juquitiba,SP
4913,3426308,LAGOINHA,Lagoinha,SP
4914,3426407,LARANJAL PAULISTA,Laranjal Paulista,SP
4915,3426506,LAVINIA,Lavínia,SP
4916,3426605,LAVRINHAS,Lavrinhas,SP
4917,3426704,LEME,Leme,SP
4918,3426803,LENCOIS PAULISTA,Lençóis Paulista,SP
4919,3426902,LIMEIRA,Limeira,SP
4920,3427009,LINDOIA,Lindóia,SP
4921,3427108,LINS,Lins,SP
4922,3427207,LORENA,Lorena,SP
4923,3427256,LOURDES,Lourdes,SP
4924,3427306,LOUVEIRA,Louveira,SP
4925,3427405,LUCELIA,Lucélia,SP
4926,3427504,LUCIANOPOLIS,Lucianópolis,SP
4927,3427603,LUIS ANTONIO,Luís Antônio,SP
4928,3427702,LUIZIANIA,Luiziânia,SP
4929,3427801,LUPERCIO,Lupércio,SP
4930,3427900,LUTECIA,Lutécia,SP
4931,3428007,MACATUBA,Macatuba,SP
4932,3428106,MACAUBAL,Macaubal,SP
4933,3428205,MACEDONIA,Macedônia,SP
4934,3428304,MAGDA,Magda,SP
4935,3428403,MAIRINQUE,Mairinque,SP
4936,3428502,MAIRIPORA,Mairiporã,SP
4937,3428601,MANDURI,Manduri,SP
4938,3428700,MARABA PAULISTA,Marabá Paulista,SP
4939,3428809,MARACAI,Maracaí,SP
4940,3428858,MARAPOAMA,Marapoama,SP
4941,3428908,MARIAPOLIS,Mariápolis,SP
4942,3429005,MARILIA,Marília,SP
4943,3429104,MARINOPOLIS,Marinópolis,SP
4944,3429203,MARTINOPOLIS,Martinópolis,SP
4945,3429302,MATAO,Matão,SP
4946,3429401,MAUA,Mauá,SP
4947,3429500,MENDONCA,Mendonça,SP
4948,3429609,MERIDIANO,Meridiano,SP
4949,3429658,MESOPOLIS,Mesópolis,SP
4950,3429708,MIGUELOPOLIS,Miguelópolis,SP
4951,3429807,MINEIROS DO TIETE,Mineiros do Tietê,SP
4952,3429906,MIRACATU,Miracatu,SP
4953,3430003,MIRA ESTRELA,Mira Estrela,SP
4954,3430102,MIRANDOPOLIS,Mirandópolis,SP
4955,3430201,MIRANTE DO PARANAPANEMA,Mirante do Paranapanema,SP
4956,3430300,MIRASSOL,Mirassol,SP
4957,3430409,MIRASSOLANDIA,Mirassolândia,SP
4958,3430508,MOCOCA,Mococa,SP
4959,3430607,MOGI DAS CRUZES,Mogi das Cruzes,SP
4960,3430706,MOGI GUACU,Mogi Guaçu,SP
4961,3430805,MOGI-MIRIM,Mogi-Mirim,SP
4962,3430904,MOMBUCA,Mombuca,SP
4963,3431001,MONCOES,Monções,SP
4964,3431100,MONGAGUA,Mongaguá,SP
4965,3431209,MONTE ALEGRE DO SUL,Monte Alegre do Sul,SP
4966,3431308,MONTE ALTO,Monte Alto,SP
4967,3431407,MONTE APRAZIVEL,Monte Aprazível,SP
4968,3431506,MONTE AZUL PAULISTA,Monte Azul Paulista,SP
4969,3431605,MONTE CASTELO,Monte Castelo,SP
4970,3431704,MONTEIRO LOBATO,Monteiro Lobato,SP
4971,3431803,MONTE MOR,Monte Mor,SP
4972,3431902,MORRO AGUDO,Morro Agudo,SP
4973,3432009,MORUNGABA,Morungaba,SP
4974,3432058,MOTUCA,Motuca,SP
4975,3432108,MURUTINGA DO SUL,Murutinga do Sul,SP
4976,3432157,NANTES,Nantes,SP
4977,3432207,NARANDIBA,Narandiba,SP
4978,3432306,NATIVIDADE DA SERRA,Natividade da Serra,SP
4979,3432405,NAZARE PAULISTA,Nazaré Paulista,SP
4980,3432504,NEVES PAULISTA,Neves Paulista,SP
4981,3432603,NHANDEARA,Nhandeara,SP
4982,3432702,NIPOA,Nipoã,SP
4983,3432801,NOVA ALIANCA,Nova Aliança,SP
4984,3432827,NOVA CAMPINA,Nova Campina,SP
4985,3432843,NOVA CANAA PAULISTA,Nova Canaã Paulista,SP
4986,3432868,NOVA CASTILHO,Nova Castilho,SP
4987,3432900,NOVA EUROPA,Nova Europa,SP
4988,3433007,NOVA GRANADA,Nova Granada,SP
4989,3433106,NOVA GUATAPORANGA,Nova Guataporanga,SP
4990,3433205,NOVA INDEPENDENCIA,Nova Independência,SP
4991,3433254,NOVAIS,Novais,SP
4992,3433304,NOVA LUZITANIA,Nova Luzitânia,SP
4993,3433403,NOVA ODESSA,Nova Odessa,SP
4994,3433502,NOVO HORIZONTE,Novo Horizonte,SP
4995,3433601,NUPORANGA,Nuporanga,SP
4996,3433700,OCAUCU,Ocauçu,SP
4997,3433809,OLEO,Óleo,SP
4998,3433908,OLIMPIA,Olímpia,SP
4999,3434005,ONDA VERDE,Onda Verde,SP
5000,3434104,ORIENTE,Oriente,SP
5001,3434203,ORINDIUVA,Orindiúva,SP
